marital,education,default,housing,loan,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1,1,0,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,1
0,0,0,1,0,0,3,12,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,4,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
1,2,0,1,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
1,2,0,1,1,1,3,6,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
1,4,1,0,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,1,1,1,0,1,2,10,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
1,1,0,1,1,0,5,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
0,1,0,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,1,0,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
0,3,0,0,0,0,3,6,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,3,0,1,0,0,2,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
1,2,0,1,0,1,4,10,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0
1,0,0,1,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
2,3,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
2,0,1,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.955,5228.1,0
0,7,0,1,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,1
0,1,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,1,1,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,1,0,0,0,1,1,5,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
2,2,0,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
2,2,0,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,0,1,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
2,2,0,1,0,0,3,5,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
1,3,0,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
1,3,0,0,0,0,4,1,6,2,2,-1.7,94.215,-40.3,0.84,4991.6,1
1,2,0,0,0,1,3,4,12,1,2,-1.8,92.893,-46.2,1.281,5099.1,0
1,1,0,1,0,1,6,3,6,3,2,-1.1,94.199,-37.5,0.8809999999999999,4963.6,1
1,0,1,0,0,0,3,4,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,3,0,1,0,1,3,1,10,1,2,-1.8,92.893,-46.2,1.281,5099.1,1
0,1,0,1,0,1,1,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,0,1,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
1,4,1,1,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
1,1,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
0,6,1,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,1,0,1,0,0,3,8,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
0,3,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,3,1,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,1,0,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
1,1,0,0,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.435,5099.1,1
1,1,0,0,1,0,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
1,1,0,0,0,1,5,2,3,4,2,-1.7,94.055,-39.8,0.715,4991.6,1
0,2,0,1,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
1,2,0,1,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
0,5,0,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,5,1,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
0,6,0,1,0,1,2,5,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
2,2,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
1,1,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,1
0,0,1,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
0,1,0,1,0,1,1,5,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1
1,2,0,1,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
1,0,0,2,2,1,4,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
1,1,0,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
1,1,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
1,2,0,1,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,3,0,0,1,1,0,2,999,0,0,-1.8,93.075,-47.1,1.466,5099.1,0
1,2,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
1,6,0,0,0,1,0,2,6,2,2,-1.8,93.749,-34.6,0.642,5008.7,0
0,2,1,1,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
2,6,0,1,0,1,9,4,3,1,2,-1.8,93.369,-34.8,0.635,5008.7,1
0,2,0,1,0,1,6,1,999,0,0,-1.1,94.199,-37.5,0.879,4963.6,1
0,2,0,0,1,0,3,4,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,6,1,0,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
1,1,0,1,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
1,2,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
1,1,0,1,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
2,2,0,1,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
2,3,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
1,2,0,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
1,6,0,1,0,1,0,1,999,0,0,-1.8,93.075,-47.1,1.445,5099.1,0
0,4,1,1,1,1,4,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
1,2,0,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
0,2,0,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.967,5228.1,0
2,0,0,0,0,1,2,1,999,0,0,-3.4,92.649,-30.1,0.7140000000000001,5017.5,1
0,0,1,1,1,0,4,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
1,6,1,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,6,0,0,0,0,5,3,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
1,4,1,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,1
0,4,0,0,0,1,1,1,999,0,0,-1.7,94.027,-38.3,0.899,4991.6,1
1,3,0,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1,0
1,3,0,1,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
0,1,0,0,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,6,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,1,0,1,0,1,9,5,999,0,0,-1.8,92.843,-50.0,1.811,5099.1,1
0,0,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,3,1,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
0,1,0,1,1,1,8,3,3,1,2,-1.1,94.601,-49.5,0.965,4963.6,1
0,3,0,1,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.97,5228.1,0
1,3,1,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,5,1,1,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,5,0,0,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
0,1,0,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.445,5099.1,0
0,2,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
0,0,0,1,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,1
2,2,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,0,1,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,2,0,0,0,1,2,2,6,3,2,-3.4,92.649,-30.1,0.716,5017.5,0
0,2,0,1,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,5,1,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,1,1,1,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
0,2,1,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,0,1,4,6,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
0,0,1,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
1,1,0,0,0,1,9,2,999,0,0,-1.8,92.843,-50.0,1.614,5099.1,1
0,3,0,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
1,2,0,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,1
0,3,0,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,3,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
0,6,0,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,2,0,0,0,0,3,6,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
2,2,0,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,0,1,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1,0
0,2,0,1,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,5,1,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,2,0,0,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,1
0,5,0,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
0,1,0,1,0,1,3,4,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
1,1,0,0,0,0,5,32,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
0,1,1,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
1,6,0,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
1,0,1,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0
0,1,0,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,6,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
0,1,0,0,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,0
0,6,0,0,0,1,2,3,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
0,6,0,2,2,0,1,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
1,5,0,1,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,1,0,1,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
2,1,1,0,1,1,1,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,0,1,0,0,0,5,7,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0
1,1,0,0,1,1,3,6,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
0,5,1,1,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.435,5099.1,0
1,1,0,0,1,1,3,3,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,1
0,5,1,2,2,0,5,6,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
1,6,1,1,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
1,0,0,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
0,2,0,1,1,1,4,10,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
0,2,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,6,0,1,1,1,1,8,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,1,1,1,1,1,1,11,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
0,6,1,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
2,3,0,1,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
1,1,0,1,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,6,1,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
2,1,0,0,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
1,1,0,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
2,0,1,1,1,1,8,4,3,1,2,-1.1,94.601,-49.5,1.0,4963.6,0
1,1,0,0,0,1,0,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,1
0,6,0,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,1,0,0,1,0,2,7,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
0,6,0,0,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
0,0,0,0,0,1,4,1,999,0,0,-1.7,94.215,-40.3,0.8959999999999999,4991.6,0
2,3,0,0,0,1,7,7,999,0,0,-3.0,92.713,-33.0,0.71,5023.5,1
0,1,0,1,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
0,1,0,0,1,1,3,4,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,0
1,1,0,0,1,1,9,1,999,0,0,-1.8,92.843,-50.0,1.584,5099.1,1
1,1,0,2,2,0,5,4,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
1,6,1,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
0,1,0,1,1,1,1,3,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
2,1,1,1,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
1,2,0,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,1,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
1,6,0,1,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,1
1,3,0,1,0,1,5,2,999,0,0,-2.9,92.963,-40.8,1.268,5076.2,1
1,2,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,2,1,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
1,6,0,1,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
1,1,0,2,2,0,5,1,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
1,2,0,0,0,0,1,1,999,0,0,-1.7,94.027,-38.3,0.888,4991.6,0
0,6,0,1,1,1,2,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
0,1,0,1,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,6,0,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,1
1,1,0,1,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,1
0,0,0,0,0,1,8,3,3,1,2,-3.4,92.431,-26.9,0.733,5017.5,1
0,6,0,1,0,0,5,9,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
0,0,1,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
0,3,0,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.959,5228.1,0
2,2,0,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
0,3,0,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,2,1,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
1,1,0,1,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
1,3,0,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
0,6,0,1,0,0,1,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,2,0,1,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
1,2,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0
0,1,0,0,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
0,1,0,1,1,1,0,5,999,0,0,-1.8,93.075,-47.1,1.423,5099.1,0
1,1,0,1,0,1,3,3,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
0,2,0,1,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
0,3,1,0,0,1,1,6,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,5,0,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
0,1,1,1,0,1,4,12,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,3,1,1,1,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,2,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
0,3,0,0,0,0,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
2,2,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
0,1,0,1,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
1,1,0,2,2,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,1,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
0,0,1,0,0,0,5,4,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
0,1,0,1,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
2,1,0,1,0,0,3,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
0,5,0,0,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
0,2,0,0,1,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,2,0,1,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
0,4,0,0,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
0,1,0,0,0,1,1,3,6,1,2,-1.7,94.027,-38.3,0.899,4991.6,1
1,1,0,1,0,1,4,3,999,0,0,-2.9,92.469,-33.6,1.029,5076.2,0
0,6,0,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
1,2,0,0,0,0,3,8,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0
0,6,0,1,1,1,2,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,1
0,0,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
0,3,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,0,1,0,0,3,18,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,0,1,1,1,1,3,999,0,0,1.4,93.444,-36.1,4.967,5228.1,1
0,2,0,0,1,0,5,6,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
0,2,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
1,4,0,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,4,0,0,1,1,5,1,999,0,0,-2.9,92.963,-40.8,1.268,5076.2,0
0,6,0,1,1,1,1,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
2,1,0,1,0,1,1,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
0,3,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
0,4,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,2,1,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,5,1,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,5,1,1,1,0,4,3,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0
0,3,1,0,0,0,5,3,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
2,2,0,1,0,1,0,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,1
1,1,1,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
2,2,0,0,0,1,8,1,999,0,0,-3.4,92.431,-26.9,0.722,5017.5,1
0,0,0,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
0,0,1,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
0,3,1,0,0,0,5,3,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0
0,6,0,1,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,2,1,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,3,0,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
1,1,0,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
2,0,0,0,0,1,5,1,999,0,0,-1.7,94.055,-39.8,0.72,4991.6,1
2,2,0,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
0,5,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
0,6,1,0,0,1,0,2,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
0,1,0,0,0,1,3,3,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,1
1,1,0,1,0,1,5,1,3,2,2,-2.9,92.963,-40.8,1.26,5076.2,0
1,2,0,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
1,1,0,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0
0,1,0,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
0,6,0,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,2,0,0,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
0,1,1,0,0,1,1,5,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
1,1,0,0,1,1,1,2,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
2,1,0,1,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
2,1,1,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
0,5,0,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1,0
0,2,0,0,0,1,1,4,999,0,0,-2.9,92.201,-31.4,0.838,5076.2,0
1,4,0,1,0,0,3,4,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
1,1,0,1,1,1,4,1,999,0,0,-2.9,92.469,-33.6,1.029,5076.2,0
0,2,0,1,0,1,8,3,999,0,0,-3.4,92.431,-26.9,0.735,5017.5,0
0,4,1,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
0,2,0,0,0,1,4,7,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
1,2,0,1,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
0,2,0,1,1,1,0,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
1,1,1,1,0,0,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
1,1,0,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
0,0,0,0,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.27,5099.1,0
0,2,0,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
1,2,0,0,0,1,6,5,6,3,2,-1.1,94.199,-37.5,0.879,4963.6,1
0,1,0,1,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
2,2,1,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
1,3,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
0,0,0,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
0,2,0,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
0,4,0,1,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
0,1,0,1,0,0,1,4,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
0,2,1,1,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
0,2,0,1,1,0,5,1,999,0,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0
2,2,0,0,1,1,4,3,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0
0,2,0,1,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
2,2,0,1,0,1,2,3,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
1,2,0,0,1,1,4,5,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
0,6,0,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
0,2,0,2,2,1,3,3,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
0,2,1,1,1,0,4,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
0,6,0,1,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
0,1,0,0,0,0,3,6,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
0,6,0,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
1,5,0,2,2,0,3,1,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,5099.1,1
1,1,0,1,1,1,5,1,999,0,0,-1.7,94.055,-39.8,0.7390000000000001,4991.6,1
0,6,0,1,1,1,9,1,999,0,0,-1.8,93.369,-34.8,0.655,5008.7,0
1,2,0,0,0,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,1
